,name,university,type,location,duration,link
171,Biophysics in Sport,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/biophysics-in-sport-7175
172,Master in Leading Hotel Transformation,Hotelschool The Hague,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/master-in-leading-hotel-transformation-10617
173,Literary Studies: Comparative Literature,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/literary-studies-comparative-literature-10001
174,"Multilateralism, Globalization & Corporate Diplomacy",University of Amsterdam,Short or summer course,Amsterdam,19 days,https://www.studyinnl.org//dutch-education/studies/multilateralism-globalization-corporate-diplomacy-9766
175,International and European Law: European Union Law,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/international-and-european-law-european-union-law-6642
176,The Moral Organisation,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,8 days,https://www.studyinnl.org//dutch-education/studies/the-moral-organisation-14105
177,Media and Information,University of Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/media-and-information-1046
178,Feeding the Billions: Challenges of Food and Nutrition Security,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,15 days,https://www.studyinnl.org//dutch-education/studies/feeding-the-billions-challenges-of-food-and-nutrition-security-11548
179,International Business Management,Tio University of Applied Sciences,Other,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/international-business-management-10519
180,Social and Cultural Anthropology,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/social-and-cultural-anthropology-1254
181,Urban and Regional Planning,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/urban-and-regional-planning-1181
182,Media Studies: New Media and Digital Culture,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/media-studies-new-media-and-digital-culture-6694
183,Archival and Information Studies,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/archival-and-information-studies-10003
184,"Media, Art, Design and Architecture",Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/media-art-design-and-architecture-10370
185,Public Policy and Governance (Political Science),University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/public-policy-and-governance-political-science-6779
186,Ancient Studies,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/ancient-studies-1236
187,Arts and Culture: International Dramaturgy,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/arts-and-culture-international-dramaturgy-1149
188,International Development: Global Trends via Local Cases Perspectives,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,15 days,https://www.studyinnl.org//dutch-education/studies/international-development-global-trends-via-local-cases-perspectives-14096
189,Political Science,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/political-science-1262
190,Sport Psychology,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/sport-psychology-7176
191,Fintech and Regulation,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,15 days,https://www.studyinnl.org//dutch-education/studies/fintech-and-regulation-10439
192,Econometrics and Operations Research: Econometric Theory,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/econometrics-and-operations-research-econometric-theory-9884
193,Political Theory (Political Science),University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/political-theory-political-science-6778
194,Business Analytics,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/business-analytics-1240
195,Language and Media,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/language-and-media-11037
196,Biomedical Technology and Physics,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/biomedical-technology-and-physics-1274
197,Arts & Culture: Comparative Arts and Media Studies,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/arts-culture-comparative-arts-and-media-studies-7034
198,Econometrics and Operations Research: Quantitative Logistics,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/econometrics-and-operations-research-quantitative-logistics-9890
199,Introduction to Sexuality Studies,University of Amsterdam,Short or summer course,Amsterdam,18 days,https://www.studyinnl.org//dutch-education/studies/introduction-to-sexuality-studies-6413
200,Hotel- & Eventmanagement,Tio University of Applied Sciences,Other,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/hotel-eventmanagement-10522
201,Psychology,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/psychology-9526
202,Ecology and Evolution,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/ecology-and-evolution-1270
203,Governing Climate Change: Theory and Practice,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,15 days,https://www.studyinnl.org//dutch-education/studies/governing-climate-change-theory-and-practice-10408
204,Communication & Information Studies,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/communication-information-studies-1308
205,European Studies: European Policy,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/european-studies-european-policy-1126
206,Physics and Astronomy (joint degree),University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/physics-and-astronomy-joint-degree-1165
207,Philosophy (research MA),University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/philosophy-research-ma-1105
208,International Relations (Political Science),University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/international-relations-political-science-6776
209,Creative Technology (location Vrije Universiteit),University of Twente,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/creative-technology-location-vrije-universiteit-12652
210,Mathematics,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/mathematics-1316
211,Health Sciences,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/health-sciences-1312
212,Communication and Information Studies,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/communication-and-information-studies-1154
213,Psychology: Behavioural Data Science,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/psychology-behavioural-data-science-6767
214,Visual Ethnography in Social Science,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,15 days,https://www.studyinnl.org//dutch-education/studies/visual-ethnography-in-social-science-57572
215,Economics: Labour and Health,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/economics-labour-and-health-9898
216,Bachelor of Business Administration in Entrepreneurship & FinTech,Wittenborg University of Applied Sciences,Bachelor,Amsterdam,4 years,https://www.studyinnl.org//dutch-education/studies/bachelor-of-business-administration-in-entrepreneurship-fintech-10321
217,"International Crimes, Conflict and Criminology",Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/international-crimes-conflict-and-criminology-1307
218,International Business Law,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/international-business-law-1258
219,Medical Biology: Medical Biochemistry and Biotechnology,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/medical-biology-medical-biochemistry-and-biotechnology-6812
220,Psychology: Coaching & Vitality in Organisations,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/psychology-coaching-vitality-in-organisations-13491
221,Economics of Climate Change,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,5 days,https://www.studyinnl.org//dutch-education/studies/economics-of-climate-change-13885
222,Social Sciences (research MSc),University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/social-sciences-research-msc-1113
223,High Performance Coaching,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/high-performance-coaching-7174
224,Comparative Politics (Political Science),University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/comparative-politics-political-science-10920
225,Economics and Business Economics,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/economics-and-business-economics-1217
226,International Business Law: Trade and Investment,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/international-business-law-trade-and-investment-12724
227,Business Administration: International Management,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/business-administration-international-management-7057
228,Communication Science,University of Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/communication-science-6519
229,International and Transnational Criminal Law,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/international-and-transnational-criminal-law-6765
230,Sociology,University of Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/sociology-1068
231,Finance: Honours Programme in Quantitative Finance,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/finance-honours-programme-in-quantitative-finance-11290
232,Linguistics: Language and AI,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/linguistics-language-and-ai-9872
233,Global Health,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,15 days,https://www.studyinnl.org//dutch-education/studies/global-health-10406
234,Business Administration: Strategy and Organization,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/business-administration-strategy-and-organization-7060
235,Clinical and Developmental Psychopathology (research),Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/clinical-and-developmental-psychopathology-research-1269
